parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 480 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 15 | 53 | (20+(14+19))=x | 20 14 19 + + x = | 20:carrot 14:carrot 19:carrot +:carrot +:carrot x:carrot =:carrot
EXPR: 0 | POS | INT | 0 | 15 | 25 | x=(20-(14-19)) | x 20 14 19 - - = | x:carrot 20:carrot 14:carrot 19:carrot -:carrot -:carrot =:carrot
EXPR: 1 | POS | INT | 0 | 15 | 15 | x=(20+(14-19)) | x 20 14 19 - + = | x:carrot 20:carrot 14:carrot 19:carrot -:carrot +:carrot =:carrot
EXPR: 0 | POS | INT | 0 | 15 | 53 | x=(20+(14+19)) | x 20 14 19 + + = | x:carrot 20:carrot 14:carrot 19:carrot +:carrot +:carrot =:carrot
EXPR: 0 | POS | INT | 0 | 15 | 25 | (20-(14-19))=x | 20 14 19 - - x = | 20:carrot 14:carrot 19:carrot -:carrot -:carrot x:carrot =:carrot
EXPR: 1 | POS | INT | 0 | 15 | 15 | (20+(14-19))=x | 20 14 19 - + x = | 20:carrot 14:carrot 19:carrot -:carrot +:carrot x:carrot =:carrot
EXPR: 0 | POS | INT | 0 | 15 | 25 | x=((20-14)+19) | x 20 14 - 19 + = | x:carrot 20:carrot 14:carrot -:carrot 19:carrot +:carrot =:carrot
EXPR: 1 | POS | INT | 0 | 15 | 15 | ((20+14)-19)=x | 20 14 + 19 - x = | 20:carrot 14:carrot +:carrot 19:carrot -:carrot x:carrot =:carrot
EXPR: 1 | POS | INT | 0 | 15 | 15 | x=((20+14)-19) | x 20 14 + 19 - = | x:carrot 20:carrot 14:carrot +:carrot 19:carrot -:carrot =:carrot
EXPR: 0 | POS | INT | 0 | 15 | 53 | x=((20+14)+19) | x 20 14 + 19 + = | x:carrot 20:carrot 14:carrot +:carrot 19:carrot +:carrot =:carrot
EXPR: 0 | POS | INT | 0 | 15 | 25 | ((20-14)+19)=x | 20 14 - 19 + x = | 20:carrot 14:carrot -:carrot 19:carrot +:carrot x:carrot =:carrot
EXPR: 0 | POS | INT | 0 | 15 | 53 | ((20+14)+19)=x | 20 14 + 19 + x = | 20:carrot 14:carrot +:carrot 19:carrot +:carrot x:carrot =:carrot
EXPR: 0 | POS | INT | 2 | 15 | 13 | x=(14-(20-19)) | x 14 20 19 - - = | x:carrot 14:carrot 20:carrot 19:carrot -:carrot -:carrot =:carrot
